Roll No,PRN,314441_IN,314441_TH,314441_TOT,314441_TW,314441_PR,314441_OR,314441_TOT%,314441_CRD,314441_GRD,314441_GRDPTS,314441_CRDPTS,314442_IN,314442_TH,314442_TOT,314442_TW,314442_PR,314442_OR,314442_TOT%,314442_CRD,314442_GRD,314442_GRDPTS,314442_CRDPTS,314443_IN,314443_TH,314443_TOT,314443_TW,314443_PR,314443_OR,314443_TOT%,314443_CRD,314443_GRD,314443_GRDPTS,314443_CRDPTS,314444_IN,314444_TH,314444_TOT,314444_TW,314444_PR,314444_OR,314444_TOT%,314444_CRD,314444_GRD,314444_GRDPTS,314444_CRDPTS,314445_IN,314445_TH,314445_TOT,314445_TW,314445_PR,314445_OR,314445_TOT%,314445_CRD,314445_GRD,314445_GRDPTS,314445_CRDPTS,314446_1_IN,314446_1_TH,314446_1_TOT,314446_1_TW,314446_1_PR,314446_1_OR,314446_1_TOT%,314446_1_CRD,314446_1_GRD,314446_1_GRDPTS,314446_1_CRDPTS,314446_2_IN,314446_2_TH,314446_2_TOT,314446_2_TW,314446_2_PR,314446_2_OR,314446_2_TOT%,314446_2_CRD,314446_2_GRD,314446_2_GRDPTS,314446_2_CRDPTS,314447_IN,314447_TH,314447_TOT,314447_TW,314447_PR,314447_OR,314447_TOT%,314447_CRD,314447_GRD,314447_GRDPTS,314447_CRDPTS,314448_IN,314448_TH,314448_TOT,314448_TW,314448_PR,314448_OR,314448_TOT%,314448_CRD,314448_GRD,314448_GRDPTS,314448_CRDPTS,314450_IN,314450_TH,314450_TOT,314450_TW,314450_PR,314450_OR,314450_TOT%,314450_CRD,314450_GRD,314450_GRDPTS,314450_CRDPTS,314451_IN,314451_TH,314451_TOT,314451_TW,314451_PR,314451_OR,314451_TOT%,314451_CRD,314451_GRD,314451_GRDPTS,314451_CRDPTS,314452_IN,314452_TH,314452_TOT,314452_TW,314452_PR,314452_OR,314452_TOT%,314452_CRD,314452_GRD,314452_GRDPTS,314452_CRDPTS,314453_IN,314453_TH,314453_TOT,314453_TW,314453_PR,314453_OR,314453_TOT%,314453_CRD,314453_GRD,314453_GRDPTS,314453_CRDPTS,314454_IN,314454_TH,314454_TOT,314454_TW,314454_PR,314454_OR,314454_TOT%,314454_CRD,314454_GRD,314454_GRDPTS,314454_CRDPTS,314455_IN,314455_TH,314455_TOT,314455_TW,314455_PR,314455_OR,314455_TOT%,314455_CRD,314455_GRD,314455_GRDPTS,314455_CRDPTS,314456_IN,314456_TH,314456_TOT,314456_TW,314456_PR,314456_OR,314456_TOT%,314456_CRD,314456_GRD,314456_GRDPTS,314456_CRDPTS,314457_IN,314457_TH,314457_TOT,314457_TW,314457_PR,314457_OR,314457_TOT%,314457_CRD,314457_GRD,314457_GRDPTS,314457_CRDPTS,314458_IN,314458_TH,314458_TOT,314458_TW,314458_PR,314458_OR,314458_TOT%,314458_CRD,314458_GRD,314458_GRDPTS,314458_CRDPTS,SGPA
T150058501,71728718B,11,33,44, , , ,44,04,P,04,"16
",28,57,85, , , ,85,04,O,10,"40
",23,49,72, , , ,72,03,A+,09,"27
",25,48,73, , , ,73,04,A+,09,"36
",23,47,70, , , ,70,03,A+,09,"27
", , , , ,32, ,64,01,A,08,"08
", , , ,20, ,31,68,01,A,08,"08
", , , ,23,39, ,82,02,O,10,"20
", , , ,38, , ,76,01,A+,09,"09
",22,52,74, , , ,74,03,A+,09,"27
",18,35,53, , , ,53,04,B,06,"24
",17,48,65, , , ,65,04,A,08,"32
",21,53,74, , , ,74,03,A+,09,"27
",25,44,69, , , ,69,04,A,08,"32
", , , ,21, ,20,82,01,O,10,"10
", , , ,35,32, ,67,02,A,08,"16
", , , ,20,10, ,60,01,A,08,"08
", , , , , ,47,94,01,O,10,"10
",8.2
T150058502,71600855G,11,34,45, , , ,45,04,C,05,"20
",16,43,59, , , ,59,04,B+,07,"28
",27,46,73, , , ,73,03,A+,09,"27
",19,48,67, , , ,67,04,A,08,"32
",20,47,67, , , ,67,03,A,08,"24
", , , , ,42, ,84,01,O,10,"10
", , , ,19, ,43,82,01,O,10,"10
", , , ,23,35, ,77,02,A+,09,"18
", , , ,38, , ,76,01,A+,09,"09
",14,36,50, , , ,50,03,B,06,"18
",13,28,41, , , ,41,04,P,04,"16
",13,40,53, , , ,53,04,B,06,"24
",11,56,67, , , ,67,03,A,08,"24
",25,39,64, , , ,64,04,A,08,"32
", , , ,24, ,21,90,01,O,10,"10
", , , ,35,20, ,55,02,B+,07,"14
", , , ,22,23, ,90,01,O,10,"10
", , , , , ,38,76,01,A+,09,"09
",7.28
T150058503,71601038M,4,45,49, , , ,49,04,C,05,"20
",18,48,66, , , ,66,04,A,08,"32
",22,46,68, , , ,68,03,A,08,"24
",20,32,52, , , ,52,04,B,06,"24
",17,48,65, , , ,65,03,A,08,"24
", , , , ,32, ,64,01,A,08,"08
", , , ,19, ,39,77,01,A+,09,"09
", , , ,21,30, ,68,02,A,08,"16
", , , ,36, , ,72,01,A+,09,"09
",30,48,78, , , ,78,03,A+,09,"27
",19,35,54, , , ,54,04,B,06,"24
",18,42,60, , , ,60,04,A,08,"32
",20,54,74, , , ,74,03,A+,09,"27
",23,48,71, , , ,71,04,A+,09,"36
", , , ,23, ,21,88,01,O,10,"10
", , , ,39,20, ,59,02,B+,07,"14
", , , ,22,16, ,76,01,A+,09,"09
", , , , , ,35,70,01,A+,09,"09
",7.7
T150058504,71601360G,20,55,75, , , ,75,04,A+,09,"36
",24,50,74, , , ,74,04,A+,09,"36
",25,50,75, , , ,75,03,A+,09,"27
",22,47,69, , , ,69,04,A,08,"32
",24,45,69, , , ,69,03,A,08,"24
", , , , ,41, ,82,01,O,10,"10
", , , ,19, ,42,81,01,O,10,"10
", , , ,21,41, ,82,02,O,10,"20
", , , ,38, , ,76,01,A+,09,"09
",27,45,72, , , ,72,03,A+,09,"27
",26,32,58, , , ,58,04,B+,07,"28
",26,55,81, , , ,81,04,O,10,"40
",24,53,77, , , ,77,03,A+,09,"27
",28,52,80, , , ,80,04,O,10,"40
", , , ,21, ,17,76,01,A+,09,"09
", , , ,40,42, ,82,02,O,10,"20
", , , ,21,23, ,88,01,O,10,"10
", , , , , ,38,76,01,A+,09,"09
",9
T150058505,71601314C,28,54,82, , , ,82,04,O,10,"40
",19,39,58, , , ,58,04,B+,07,"28
",23,40,63, , , ,63,03,A,08,"24
",21,34,55, , , ,55,04,B+,07,"28
",26,47,73, , , ,73,03,A+,09,"27
", , , , ,43, ,86,01,O,10,"10
", , , ,22, ,44,88,01,O,10,"10
", , , ,21,46, ,89,02,O,10,"20
", , , ,38, , ,76,01,A+,09,"09
",30,42,72, , , ,72,03,A+,09,"27
",26,28,54, , , ,54,04,B,06,"24
",21,50,71, , , ,71,04,A+,09,"36
",19,44,63, , , ,63,03,A,08,"24
",27,43,70, , , ,70,04,A+,09,"36
", , , ,23, ,23,92,01,O,10,"10
", , , ,36,20, ,56,02,B+,07,"14
", , , ,22,21, ,86,01,O,10,"10
", , , , , ,46,92,01,O,10,"10
",8.41
T150058506,71601013F,22,56,78, , , ,78,04,A+,09,"36
",28,47,75, , , ,75,04,A+,09,"36
",16,33,49, , , ,49,03,C,05,"15
",24,56,80, , , ,80,04,O,10,"40
",25,47,72, , , ,72,03,A+,09,"27
", , , , ,43, ,86,01,O,10,"10
", , , ,22, ,43,86,01,O,10,"10
", , , ,22,36, ,77,02,A+,09,"18
", , , ,40, , ,80,01,O,10,"10
",29,50,79, , , ,79,03,A+,09,"27
",19,38,57, , , ,57,04,B+,07,"28
",21,41,62, , , ,62,04,A,08,"32
",23,52,75, , , ,75,03,A+,09,"27
",22,47,69, , , ,69,04,A,08,"32
", , , ,23, ,18,82,01,O,10,"10
", , , ,37,20, ,57,02,B+,07,"14
", , , ,22,22, ,88,01,O,10,"10
", , , , , ,44,88,01,O,10,"10
",8.52
T150058507,71600889M,30,61,91, , , ,91,04,O,10,"40
",27,48,75, , , ,75,04,A+,09,"36
",27,46,73, , , ,73,03,A+,09,"27
",29,65,94, , , ,94,04,O,10,"40
",26,50,76, , , ,76,03,A+,09,"27
", , , , ,44, ,88,01,O,10,"10
", , , ,24, ,44,90,01,O,10,"10
", , , ,22,43, ,86,02,O,10,"20
", , , ,41, , ,82,01,O,10,"10
",30,51,81, , , ,81,03,O,10,"30
",21,45,66, , , ,66,04,A,08,"32
",22,54,76, , , ,76,04,A+,09,"36
",23,63,86, , , ,86,03,O,10,"30
",29,47,76, , , ,76,04,A+,09,"36
", , , ,21, ,24,90,01,O,10,"10
", , , ,46,41, ,87,02,O,10,"20
", , , ,24,20, ,88,01,O,10,"10
", , , , , ,39,78,01,A+,09,"09
",9.41
T150058508,71600780M,14,46,60, , , ,60,04,A,08,"32
",18,47,65, , , ,65,04,A,08,"32
",21,39,60, , , ,60,03,A,08,"24
",22,51,73, , , ,73,04,A+,09,"36
",17,45,62, , , ,62,03,A,08,"24
", , , , ,39, ,78,01,A+,09,"09
", , , ,20, ,38,77,01,A+,09,"09
", , , ,24,39, ,84,02,O,10,"20
", , , ,39, , ,78,01,A+,09,"09
",25,43,68, , , ,68,03,A,08,"24
",18,38,56, , , ,56,04,B+,07,"28
",20,50,70, , , ,70,04,A+,09,"36
",16,55,71, , , ,71,03,A+,09,"27
",25,47,72, , , ,72,04,A+,09,"36
", , , ,24, ,21,90,01,O,10,"10
", , , ,42,35, ,77,02,A+,09,"18
", , , ,23,20, ,86,01,O,10,"10
", , , , , ,47,94,01,O,10,"10
",8.57
T150058509,71600890E,15,56,71, , , ,71,04,A+,09,"36
",22,52,74, , , ,74,04,A+,09,"36
",24,46,70, , , ,70,03,A+,09,"27
",18,51,69, , , ,69,04,A,08,"32
",22,49,71, , , ,71,03,A+,09,"27
", , , , ,44, ,88,01,O,10,"10
", , , ,22, ,45,89,01,O,10,"10
", , , ,20,33, ,70,02,A+,09,"18
", , , ,37, , ,74,01,A+,09,"09
",26,46,72, , , ,72,03,A+,09,"27
",18,37,55, , , ,55,04,B+,07,"28
",16,57,73, , , ,73,04,A+,09,"36
",19,55,74, , , ,74,03,A+,09,"27
",27,46,73, , , ,73,04,A+,09,"36
", , , ,23, ,18,82,01,O,10,"10
", , , ,40,40, ,80,02,O,10,"20
", , , ,23,20, ,86,01,O,10,"10
", , , , , ,48,96,01,O,10,"10
",8.89
T150058510,71601258J,30,62,92, , , ,92,04,O,10,"40
",29,52,81, , , ,81,04,O,10,"40
",25,40,65, , , ,65,03,A,08,"24
",26,54,80, , , ,80,04,O,10,"40
",26,52,78, , , ,78,03,A+,09,"27
", , , , ,42, ,84,01,O,10,"10
", , , ,23, ,43,88,01,O,10,"10
", , , ,23,40, ,84,02,O,10,"20
", , , ,40, , ,80,01,O,10,"10
",30,49,79, , , ,79,03,A+,09,"27
",29,51,80, , , ,80,04,O,10,"40
",28,60,88, , , ,88,04,O,10,"40
",21,53,74, , , ,74,03,A+,09,"27
",25,51,76, , , ,76,04,A+,09,"36
", , , ,22, ,24,92,01,O,10,"10
", , , ,47,40, ,87,02,O,10,"20
", , , ,24,23, ,94,01,O,10,"10
", , , , , ,46,92,01,O,10,"10
",9.59
